tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,follower_throttle,follower_steer,follower_brake,collision_detected
0,0.0,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0.0,0.0,1.0,0
1,0.05,583.246,-24.09,20.48,593.246,-24.016,20.5,10.0,1940.438,0.0,0.0,1.0,0
2,0.1,582.978,-24.092,19.77,593.062,-24.018,10.44,10.084,-1,0.0,0.0,1.0,0
3,0.15,582.709,-24.094,19.61,592.986,-24.018,2.79,10.277,-1,0.0,0.0,1.0,0
4,0.2,582.441,-24.096,19.27,592.98,-24.018,0.3,10.54,-1,0.0,0.0,1.0,0
5,0.25,582.172,-24.098,19.4,592.98,-24.018,0.65,10.809,-1,0.75,0.0,0.0,0
6,0.3,581.903,-24.1,19.36,592.98,-24.018,0.7,11.078,-1,0.75,0.0,0.0,0
7,0.35,581.633,-24.101,19.43,592.98,-24.018,0.62,11.347,-1,0.75,0.0,0.0,0
8,0.4,581.363,-24.103,19.65,592.979,-24.018,0.51,11.616,-1,0.75,0.0,0.0,0
9,0.45,581.083,-24.106,20.57,592.979,-24.018,0.39,11.897,-1,0.75,0.0,0.0,0
10,0.5,580.792,-24.108,21.29,592.979,-24.018,0.29,12.188,-1,0.75,0.0,0.0,0
11,0.55,580.488,-24.11,22.25,592.979,-24.018,0.21,12.491,-1,0.75,0.0,0.0,0
12,0.6,580.172,-24.112,23.09,592.979,-24.018,0.15,12.807,-1,0.75,0.0,0.0,0
13,0.65,579.843,-24.115,24.12,592.979,-24.018,0.1,13.137,-1,0.75,0.0,0.0,0
14,0.7,579.5,-24.117,25.01,592.979,-24.018,0.07,13.479,-1,0.75,0.0,0.0,0
15,0.75,579.144,-24.12,26.07,592.966,-24.019,2.0,13.823,-1,0.75,0.0,0.0,0
16,0.8,578.774,-24.122,26.98,592.914,-24.017,4.7,14.14,-1,0.75,-0.458,0.0,0
17,0.85,578.391,-24.125,28.06,592.834,-24.011,6.47,14.444,-1,0.75,-0.374,0.0,0
18,0.9,577.993,-24.128,28.98,592.734,-23.997,7.86,14.741,-1,0.75,-0.402,0.0,0
19,0.95,577.582,-24.131,30.04,592.618,-23.974,9.04,15.036,-1,0.75,-0.382,0.0,0
