step	language
1	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
2	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
3	Follow the route. Accelerate to follow the maroon SUV that is to the front right. Waypoints:
4	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
5	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
6	Follow the route. Accelerate to follow the maroon SUV that is to the front in 9.9 meters. Waypoints:
7	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
8	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
9	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
10	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
11	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
12	Follow the route. Accelerate to follow the maroon SUV that is to the front right in 12.5 meters. Waypoints:
13	Follow the route. Accelerate to follow the maroon car that is to the front. Waypoints:
14	Follow the route. Accelerate to follow the maroon SUV that is to the front right in 11.6 meters. Waypoints:
15	Follow the route. Accelerate to follow the navy car that is to the front. Waypoints:
16	Follow the route. Accelerate to follow the navy car that is to the front right in 13.0 meters. Waypoints:
17	Follow the route. Accelerate to follow the navy SUV that is to the front right in 11.6 meters. Waypoints:
18	Follow the route. Accelerate to follow the navy SUV that is to the front right. Waypoints:
19	Follow the route. Accelerate to follow the navy SUV that is to the front. Waypoints:
20	Follow the route. Accelerate to follow the navy SUV that is to the front. Waypoints:
21	Follow the route. Accelerate to follow the navy SUV that is to the front. Waypoints:
22	Follow the route. Accelerate to follow the navy SUV that is to the front in 113.0 meters. Waypoints:
23	Follow the route. Accelerate to follow the navy SUV that is to the front in 114.0 meters. Waypoints:
24	Follow the route. Accelerate to follow the black SUV that is to the front right in 11.9 meters. Waypoints:
25	Follow the route. Accelerate to follow the black car that is to the front right in 11.6 meters. Waypoints:
26	Follow the route. Accelerate to follow the maroon SUV that is to the front right in 11.6 meters. Waypoints:
27	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
28	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
29	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
30	Follow the route. Accelerate to follow the maroon car that is to the front right in 38.0 meters. Waypoints:
31	Follow the route. Accelerate to drive through the junction. Waypoints:
32	Follow the route. Maintain your current speed. Waypoints:
33	Follow the route. Accelerate to drive with the target speed. Waypoints:
34	Follow the route. Accelerate to drive with the target speed. Waypoints:
35	Follow the route. Accelerate to drive with the target speed. Waypoints:
36	Follow the route. Accelerate to drive with the target speed. Waypoints:
37	Follow the route. Accelerate to drive with the target speed. Waypoints:
38	Follow the route. Accelerate to drive with the target speed. Waypoints:
39	Follow the route. Accelerate to drive with the target speed. Waypoints:
40	Follow the route. Accelerate to drive with the target speed. Waypoints:
41	Follow the route. Accelerate to drive with the target speed. Waypoints:
42	Follow the route. Accelerate to drive with the target speed. Waypoints:
43	Follow the route. Accelerate to drive with the target speed. Waypoints:
44	Follow the route. Decelerate to drive with the target speed. Waypoints:
