step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
2	Follow the route. Decelerate to stay behind the maroon SUV that is to the front right. Waypoints:
3	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
4	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.1 meters. Waypoints:
5	Follow the route. Accelerate to drive with the target speed. Waypoints:
6	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 9.5 meters. Waypoints:
7	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
8	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
9	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 11.9 meters. Waypoints:
10	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
11	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 11.9 meters. Waypoints:
12	Follow the route. Remain stopped to stay behind the black SUV that is to the front. Waypoints:
13	Follow the route. Remain stopped to stay behind the black SUV that is to the front. Waypoints:
14	Follow the route. Remain stopped to stay behind the black SUV that is to the front in 12.4 meters. Waypoints:
15	Follow the route. Remain stopped to stay behind the black SUV that is to the front. Waypoints:
16	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
17	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
18	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
19	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
20	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
21	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
22	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 14.3 meters. Waypoints:
23	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
24	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
25	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 15.0 meters. Waypoints:
26	Follow the route. Remain stopped to stay behind the black SUV that is to the front in 14.3 meters. Waypoints:
27	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
28	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
29	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front left in 16.0 meters. Waypoints:
30	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
31	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.0 meters. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.0 meters. Waypoints:
33	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
34	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front left in 16.1 meters. Waypoints:
35	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front left in 16.0 meters. Waypoints:
36	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
37	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front left in 3.0 meters. Waypoints:
38	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
39	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
40	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.0 meters. Waypoints:
41	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.3 meters. Waypoints:
42	Follow the route. Accelerate to drive with the target speed. Waypoints:
43	Follow the route. Accelerate to drive with the target speed. Waypoints:
44	Follow the route. Accelerate to drive with the target speed. Waypoints:
45	Follow the route. Accelerate to drive with the target speed. Waypoints:
46	Follow the route. Accelerate to drive with the target speed. Waypoints:
47	Follow the route. Accelerate to drive with the target speed. Waypoints:
48	Follow the route. Accelerate to drive with the target speed. Waypoints:
49	Follow the route. Accelerate to drive with the target speed. Waypoints:
50	Follow the route. Accelerate to follow the maroon SUV that is to the front in 19.1 meters. Waypoints:
51	Follow the route. Accelerate to drive with the target speed. Waypoints:
52	Follow the route. Accelerate to follow the maroon SUV that is to the front right. Waypoints:
53	Follow the route. Accelerate to drive with the target speed. Waypoints:
54	Follow the route. Accelerate to drive with the target speed. Waypoints:
55	Follow the route. Accelerate to drive with the target speed. Waypoints:
56	Follow the route. Accelerate to drive with the target speed. Waypoints:
57	Follow the route. Accelerate to drive with the target speed. Waypoints:
58	Follow the route. Accelerate to drive with the target speed. Waypoints:
59	Follow the route. Accelerate to drive with the target speed. Waypoints:
60	Follow the route. Accelerate to drive with the target speed. Waypoints:
61	Follow the route. Accelerate to drive with the target speed. Waypoints:
62	Follow the route. Accelerate to drive with the target speed. Waypoints:
63	Follow the route. Accelerate to drive with the target speed. Waypoints:
64	Follow the route. Accelerate to drive with the target speed. Waypoints:
65	Follow the route. Accelerate to drive with the target speed. Waypoints:
66	Follow the route. Accelerate to drive with the target speed. Waypoints:
67	Follow the route. Accelerate to drive with the target speed. Waypoints:
68	Follow the route. Accelerate to drive with the target speed. Waypoints:
69	Follow the route. Accelerate to drive with the target speed. Waypoints:
70	Follow the route. Decelerate to stay behind the maroon SUV that is to the front left. Waypoints:
71	Follow the route. Decelerate to stay behind the orange car that is to the front in 20.4 meters. Waypoints:
72	Follow the route. Decelerate to stay behind the maroon SUV that is to the front left in 11.9 meters. Waypoints:
73	Follow the route. Accelerate to drive with the target speed. Waypoints:
74	Follow the route. Accelerate to drive with the target speed. Waypoints:
75	Follow the route. Accelerate to drive with the target speed. Waypoints:
76	Follow the route. Accelerate to drive with the target speed. Waypoints:
77	Follow the route. Decelerate to stay behind the maroon SUV that is to the front right in 14.3 meters. Waypoints:
78	Follow the route. Accelerate to drive with the target speed. Waypoints:
79	Follow the route. Decelerate to stay behind the maroon SUV that is to the front right in 14.3 meters. Waypoints:
80	Follow the route. Accelerate to drive with the target speed. Waypoints:
81	Follow the route. Maintain the reduced speed to stay behind the orange car that is to the front in 23.0 meters. Waypoints:
82	Follow the route. Maintain the reduced speed to stay behind the orange car that is to the front in 218.0 meters. Waypoints:
83	Follow the route. Accelerate to drive with the target speed. Waypoints:
84	Follow the route. Maintain the reduced speed to stay behind the orange car that is to the front in 21.9 meters. Waypoints:
85	Follow the route. Accelerate to drive with the target speed. Waypoints:
86	Follow the route. Accelerate to drive with the target speed. Waypoints:
