step	language
1	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
2	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
3	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
4	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
5	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
6	Follow the route. Accelerate to follow the navy car that is to the front. Waypoints:
7	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
8	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
9	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
10	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
11	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
12	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
13	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
14	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
15	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
16	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
17	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
18	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 10.0 meters. Waypoints:
19	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 10.0 meters. Waypoints:
20	Follow the route. Decelerate to stay behind the navy car that is to the front in 9.9 meters. Waypoints:
21	Follow the route. Decelerate to stay behind the navy car that is to the front in 9.9 meters. Waypoints:
22	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 9.7 meters. Waypoints:
23	Follow the route. Decelerate to stay behind the navy car that is to the front in 9.4 meters. Waypoints:
24	Follow the route. Decelerate to stay behind the navy car that is to the front in 9.3 meters. Waypoints:
25	Follow the route. Decelerate to stay behind the navy car that is to the front. Waypoints:
26	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
27	Follow the route. Accelerate to follow the navy car that is to the front in 9.3 meters. Waypoints:
28	Follow the route. Accelerate to follow the navy car that is to the front in 9.3 meters. Waypoints:
29	Follow the route. Accelerate to follow the navy car that is to the front in 9.6 meters. Waypoints:
30	Follow the route. Accelerate to follow the navy car that is to the front in 9.4 meters. Waypoints:
31	Follow the route. Accelerate to follow the navy car that is to the front in 9.8 meters. Waypoints:
32	Follow the route. Accelerate to follow the navy car that is to the front in 10.0 meters. Waypoints:
33	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
34	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
35	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
36	Follow the route. Accelerate to follow the navy car that is to the front. Waypoints:
37	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
38	Follow the route. Accelerate to follow the navy car that is to the front in 10.2 meters. Waypoints:
39	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
40	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
41	Follow the route. Accelerate to follow the navy car that is to the front in 10.3 meters. Waypoints:
42	Follow the route. Accelerate to follow the navy car that is to the front. Waypoints:
43	Follow the route. Accelerate to follow the navy car that is to the front in 110.3 meters. Waypoints:
44	Follow the route. Accelerate to follow the navy car that is to the front in 110.3 meters. Waypoints:
45	Follow the route. Accelerate to follow the navy car that is to the front in 110.3 meters. Waypoints:
46	Follow the route. Accelerate to follow the navy car that is to the front. Waypoints:
47	Follow the route. Accelerate to follow the navy car that is to the front in 110.3 meters. Waypoints:
48	Follow the route. Accelerate to follow the navy car that is to the front in 114.1 meters. Waypoints:
49	Follow the route. Accelerate to follow the navy car that is to the front in 12.0 meters. Waypoints:
50	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
51	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
52	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
53	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 112.3 meters. Waypoints:
54	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
55	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
56	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
57	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
58	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 114.0 meters. Waypoints:
59	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
60	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
61	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
62	Follow the route. Decelerate to stay behind the navy car that is to the front. Waypoints:
63	Follow the route. Decelerate to stay behind the navy car that is to the front in 11.1 meters. Waypoints:
64	Follow the route. Decelerate to stay behind the navy car that is to the front in 10.9 meters. Waypoints:
65	Follow the route. Decelerate to stay behind the navy car that is to the front in 10.7 meters. Waypoints:
66	Follow the route. Decelerate to stay behind the navy car that is to the front. Waypoints:
67	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
68	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 10.4 meters. Waypoints:
69	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
70	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 10.4 meters. Waypoints:
71	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
72	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front. Waypoints:
73	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 10.2 meters. Waypoints:
74	Follow the route. Maintain the reduced speed to stay behind the navy car that is to the front in 10.2 meters. Waypoints:
