step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
2	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.0 meters. Waypoints:
3	Follow the route. Accelerate to follow the maroon car that is to the front. Waypoints:
4	Follow the route. Accelerate to drive with the target speed. Waypoints:
5	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
6	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.3 meters. Waypoints:
7	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.3 meters. Waypoints:
8	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.2 meters. Waypoints:
9	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
10	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
11	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.3 meters. Waypoints:
12	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
13	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
14	Follow the route. Accelerate to follow the maroon SUV that is to the front in 114.0 meters. Waypoints:
15	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
16	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.7 meters. Waypoints:
17	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
18	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.5 meters. Waypoints:
19	Follow the route. Accelerate to follow the silver SUV that is to the front in 114.3 meters. Waypoints:
20	Follow the route. Accelerate to follow the black police car that is to the front in 11.1 meters. Waypoints:
21	Follow the route. Accelerate to follow the maroon car that is to the front in 11.6 meters. Waypoints:
22	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.5 meters. Waypoints:
23	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
24	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 111.0 meters. Waypoints:
25	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 11.2 meters. Waypoints:
26	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 111.0 meters. Waypoints:
27	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
28	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
29	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 111.2 meters. Waypoints:
30	Follow the route. Accelerate to follow the maroon car that is to the front in 11.5 meters. Waypoints:
31	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
33	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
34	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
35	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
36	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
37	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
38	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.6 meters. Waypoints:
39	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
40	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
41	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
42	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
43	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 116.0 meters. Waypoints:
44	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
45	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
46	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
47	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 11.6 meters. Waypoints:
48	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
49	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 116.0 meters. Waypoints:
50	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
51	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
52	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
53	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
54	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front. Waypoints:
55	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 116.0 meters. Waypoints:
56	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 11.6 meters. Waypoints:
