step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 11.0 meters. Waypoints:
2	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
3	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.1 meters. Waypoints:
4	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
5	Follow the route. Accelerate to drive with the target speed. Waypoints:
6	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
7	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
8	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
9	Go around the accident in your lane. Wait for a safe break in the traffic flow before switching lanes. Waypoints:
10	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
11	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 12.4 meters. Waypoints:
12	Go around the accident on your lane. Wait for a safe break in the traffic flow before switching lanes. Waypoints:
13	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
14	Follow the route. Remain stopped to stay behind the black SUV that is to the front in 12.9 meters. Waypoints:
15	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.0 meters. Waypoints:
16	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
17	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
18	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
19	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
20	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
21	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
22	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
23	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
24	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
25	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
26	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
27	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
28	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
29	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
30	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
31	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front left in 16.3 meters. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front left in 16.3 meters. Waypoints:
33	Follow the route. Accelerate to drive with the target speed. Waypoints:
34	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
35	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
36	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.0 meters. Waypoints:
37	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.3 meters. Waypoints:
38	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.0 meters. Waypoints:
39	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.3 meters. Waypoints:
40	Follow the route. Accelerate to drive with the target speed. Waypoints:
41	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.0 meters. Waypoints:
42	Follow the route. Accelerate to drive with the target speed. Waypoints:
