tick,sim_time_s,leader_x,leader_y,leader_speed_kmh,follower_x,follower_y,follower_speed_kmh,distance_m,ttc_s,follower_throttle,follower_steer,follower_brake,collision_detected
0,0.0,583.519,-24.088,21.86,593.519,-24.014,21.86,10.0,-1,0.0,0.0,1.0,0
1,0.05,583.246,-24.09,20.48,593.246,-24.017,20.48,10.0,-1,1.0,0.021,0.0,0
2,0.1,582.978,-24.092,19.77,592.978,-24.021,19.76,10.0,-1,1.0,0.024,0.0,0
3,0.15,582.709,-24.094,19.61,592.709,-24.025,19.6,10.0,-1,1.0,0.009,0.0,0
4,0.2,582.441,-24.096,19.27,592.441,-24.03,19.26,10.0,-1,1.0,0.018,0.0,0
5,0.25,582.172,-24.098,19.4,592.172,-24.035,19.39,10.0,-1,1.0,0.015,0.0,0
6,0.3,581.903,-24.1,19.36,591.903,-24.04,19.36,10.0,-1,1.0,0.015,0.0,0
7,0.35,581.633,-24.101,19.43,591.634,-24.045,19.42,10.001,-1,1.0,-0.011,0.0,0
8,0.4,581.363,-24.103,19.65,591.365,-24.049,19.33,10.002,-1,1.0,0.002,0.0,0
9,0.45,581.083,-24.106,20.57,591.095,-24.053,19.71,10.012,-1,1.0,-0.005,0.0,0
10,0.5,580.792,-24.108,21.29,590.815,-24.057,20.53,10.023,-1,1.0,-0.0,0.0,0
11,0.55,580.488,-24.11,22.25,590.521,-24.061,21.65,10.033,-1,1.0,0.004,0.0,0
12,0.6,580.172,-24.112,23.09,590.211,-24.065,22.71,10.039,-1,1.0,-0.012,0.0,0
13,0.65,579.843,-24.115,24.12,589.885,-24.069,24.08,10.042,-1,1.0,-0.016,0.0,0
14,0.7,579.5,-24.117,25.01,589.54,-24.071,25.34,10.04,111.01,1.0,-0.014,0.0,0
15,0.75,579.144,-24.12,26.07,589.176,-24.073,26.73,10.032,54.718,1.0,-0.028,0.0,0
16,0.8,578.774,-24.122,26.98,588.795,-24.072,27.89,10.021,39.655,0.716,-0.034,0.0,0
17,0.85,578.391,-24.125,28.06,588.398,-24.069,29.05,10.008,36.324,1.0,-0.032,0.0,0
18,0.9,577.993,-24.128,28.98,587.986,-24.064,30.11,9.993,31.653,1.0,-0.04,0.0,0
19,0.95,577.582,-24.131,30.04,587.557,-24.056,31.42,9.975,26.12,1.0,-0.039,0.0,0
20,1.0,577.157,-24.134,30.95,587.111,-24.049,32.57,9.954,22.223,0.297,0.02,0.0,0
21,1.05,576.719,-24.137,32.0,586.652,-24.048,33.31,9.934,27.296,0.0,0.059,1.0,0
22,1.1,576.267,-24.141,32.91,586.188,-24.05,33.48,9.922,61.959,0.676,0.044,0.0,0
23,1.15,575.801,-24.144,33.94,585.721,-24.057,33.67,9.921,-1,0.855,0.064,0.0,0
24,1.2,575.322,-24.147,34.86,585.253,-24.066,33.69,9.932,-1,0.0,0.031,1.0,0
25,1.25,574.829,-24.151,35.9,584.787,-24.075,33.5,9.958,-1,0.0,0.003,1.0,0
26,1.3,574.323,-24.155,36.85,584.326,-24.083,33.03,10.004,-1,0.311,0.002,0.0,0
27,1.35,573.802,-24.159,37.91,583.869,-24.093,32.82,10.067,-1,0.308,0.008,0.0,0
28,1.4,573.268,-24.162,38.8,583.416,-24.102,32.55,10.148,-1,1.0,-0.006,0.0,0
29,1.45,572.723,-24.166,39.49,582.965,-24.111,32.44,10.242,-1,0.0,-0.001,1.0,0
30,1.5,572.172,-24.17,39.71,582.517,-24.119,32.16,10.345,-1,0.315,-0.018,0.0,0
31,1.55,571.62,-24.175,39.69,582.072,-24.127,31.95,10.451,-1,0.0,0.001,1.0,0
32,1.6,571.071,-24.179,39.4,581.633,-24.135,31.36,10.561,-1,0.0,0.001,1.0,0
33,1.65,570.527,-24.183,39.09,581.202,-24.144,30.84,10.675,-1,1.0,0.017,0.0,0
34,1.7,569.988,-24.186,38.68,580.777,-24.154,30.4,10.79,-1,0.737,-0.0,0.0,0
35,1.75,569.453,-24.19,38.4,580.356,-24.163,30.31,10.903,-1,1.0,0.004,0.0,0
36,1.8,568.922,-24.194,38.13,579.935,-24.17,30.38,11.013,-1,1.0,-0.038,0.0,0
37,1.85,568.393,-24.198,38.07,579.509,-24.177,30.89,11.116,-1,0.982,0.003,0.0,0
38,1.9,567.865,-24.202,38.03,579.075,-24.184,31.47,11.211,-1,0.663,0.006,0.0,0
39,1.95,567.335,-24.206,38.17,578.633,-24.195,32.08,11.298,-1,0.298,0.046,0.0,0
40,2.0,566.804,-24.21,38.28,578.186,-24.21,32.23,11.381,-1,0.0,0.045,1.0,0
41,2.05,566.271,-24.214,38.48,577.74,-24.228,32.08,11.468,-1,0.0,0.053,1.0,0
42,2.1,565.736,-24.218,38.59,577.299,-24.248,31.49,11.563,-1,0.0,0.022,1.0,0
