step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
2	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
3	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.4 meters. Waypoints:
4	Follow the route. Accelerate to drive with the target speed. Waypoints:
5	Follow the route. Accelerate to follow the maroon car that is to the front. Waypoints:
6	Follow the route. Remain stopped to stay behind the maroon car that is to the front. Waypoints:
7	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 9.3 meters. Waypoints:
8	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.3 meters. Waypoints:
9	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
10	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
11	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 11.9 meters. Waypoints:
12	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
13	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
14	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
15	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.0 meters. Waypoints:
16	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
17	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
18	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
19	Follow the route. Accelerate to follow the maroon SUV that is to the front in 13.3 meters. Waypoints:
20	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 14.0 meters. Waypoints:
21	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 14.0 meters. Waypoints:
22	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
23	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
24	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
25	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
26	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
27	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
28	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
29	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 15.0 meters. Waypoints:
30	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 14.0 meters. Waypoints:
31	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.0 meters. Waypoints:
33	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
34	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
35	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
36	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front left. Waypoints:
37	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
38	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
39	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
40	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
41	Follow the route. Accelerate to drive with the target speed. Waypoints:
42	Follow the route. Accelerate to drive with the target speed. Waypoints:
43	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.0 meters. Waypoints:
44	Follow the route. Accelerate to drive with the target speed. Waypoints:
45	Follow the route. Accelerate to drive with the target speed. Waypoints:
46	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.0 meters. Waypoints:
47	Follow the route. Accelerate to drive with the target speed. Waypoints:
48	Follow the route. Accelerate to drive with the target speed. Waypoints:
49	Follow the route. Accelerate to drive with the target speed. Waypoints:
50	Follow the route. Accelerate to drive with the target speed. Waypoints:
51	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.3 meters. Waypoints:
52	Follow the route. Accelerate to follow the maroon SUV that is to the front in 18.0 meters. Waypoints:
53	Follow the route. Accelerate to follow the maroon SUV that is to the front in 18.3 meters. Waypoints:
54	Follow the route. Accelerate to follow the maroon SUV that is to the front in 18.3 meters. Waypoints:
55	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
56	Follow the route. Accelerate to follow the maroon SUV that is to the front in 19.3 meters. Waypoints:
57	Follow the route. Accelerate to follow the maroon SUV that is to the front in 19.3 meters. Waypoints:
58	Follow the route. Accelerate to follow the maroon SUV that is to the front in 19.3 meters. Waypoints:
59	Follow the route. Accelerate to follow the maroon SUV that is to the front in 18.0 meters. Waypoints:
60	Follow the route. Accelerate to drive with the target speed. Waypoints:
61	Follow the route. Accelerate to drive with the target speed. Waypoints:
62	Follow the route. Accelerate to drive with the target speed. Waypoints:
63	Follow the route. Accelerate to drive with the target speed. Waypoints:
64	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 17.3 meters. Waypoints:
65	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.3 meters. Waypoints:
66	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 19.0 meters. Waypoints:
67	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
68	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
69	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 18.3 meters. Waypoints:
70	Follow the route. Accelerate to follow the maroon SUV that is to the front in 17.0 meters. Waypoints:
71	Follow the route. Accelerate to drive with the target speed. Waypoints:
72	Follow the route. Accelerate to drive with the target speed. Waypoints:
73	Follow the route. Accelerate to drive with the target speed. Waypoints:
74	Follow the route. Accelerate to drive with the target speed. Waypoints:
75	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
76	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
77	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
78	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
79	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
80	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 17.0 meters. Waypoints:
81	Follow the route. Maintain the reduced speed to stay behind the orange car that is to the front. Waypoints:
82	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.3 meters. Waypoints:
83	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 17.3 meters. Waypoints:
84	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 17.3 meters. Waypoints:
85	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.0 meters. Waypoints:
86	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.3 meters. Waypoints:
87	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.0 meters. Waypoints:
88	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.3 meters. Waypoints:
89	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.0 meters. Waypoints:
90	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 17.3 meters. Waypoints:
91	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 18.0 meters. Waypoints:
92	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.0 meters. Waypoints:
93	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.0 meters. Waypoints:
94	Follow the route. Maintain the reduced speed to stay behind the maroon SUV that is to the front in 19.3 meters. Waypoints:
95	Follow the route. Maintain your current speed. Waypoints:
96	Follow the route. Maintain your current speed. Waypoints:
97	Follow the route. Maintain your current speed to stay behind the maroon SUV that is to the front in 20.4 meters. Waypoints:
98	Follow the route. Maintain your current speed to stay behind the maroon SUV that is to the front in 21.9 meters. Waypoints:
99	Follow the route. Maintain your current speed. Waypoints:
