step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.3 meters. Waypoints:
2	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 10.0 meters. Waypoints:
3	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.7 meters. Waypoints:
4	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.6 meters. Waypoints:
5	Follow the route. Accelerate to follow the maroon SUV that is to the front in 10.0 meters. Waypoints:
6	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
7	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
8	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.4 meters. Waypoints:
9	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 11.3 meters. Waypoints:
10	Go around the accident in your lane. Wait for a safe break in the traffic flow before switching lanes. Waypoints:
11	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
12	Follow the route. Remain stopped to stay behind the black SUV that is to the front in 12.3 meters. Waypoints:
13	Go around the accident in your lane. Wait for a safe break in the traffic flow before switching lanes. Waypoints:
14	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
15	Follow the route. Remain stopped to stay behind the dark green SUV that is to the front in 13.3 meters. Waypoints:
16	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
17	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
18	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.3 meters. Waypoints:
19	Go around the accident in your lane. Wait for a safe break in the traffic flow before switching lanes. Waypoints:
20	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
21	Go around the construction site. Accelerate to change to the neighbouring lane, as the gap is big enough. Waypoints:
22	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
23	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
24	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
25	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
26	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
27	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
28	Go around the accident in your lane. Wait for a space in the traffic before switching lanes. Waypoints:
29	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
30	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
31	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
33	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
