step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
2	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
3	Follow the route. Decelerate to stay behind the maroon SUV that is to the front. Waypoints:
4	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
5	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
6	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
7	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
8	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
9	Follow the route. Accelerate to follow the maroon SUV that is to the front in 11.0 meters. Waypoints:
10	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
11	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
12	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
13	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
14	Follow the route. Accelerate to follow the silver SUV that is to the front in 114.3 meters. Waypoints:
15	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
16	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
17	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
18	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
19	Follow the route. Accelerate to follow the maroon SUV that is to the front right in 11.6 meters. Waypoints:
20	Follow the route. Accelerate to follow the maroon SUV that is to the front right in 11.6 meters. Waypoints:
21	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
22	Follow the route. Accelerate to follow the maroon SUV that is to the front. Waypoints:
23	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
24	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
25	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
26	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
27	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
28	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
29	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
30	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
31	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
32	Follow the route. Accelerate to follow the silver SUV that is to the front. Waypoints:
33	Follow the route. Accelerate to follow the silver SUV that is to the front right in 11.9 meters. Waypoints:
34	Follow the route. Maintain your current speed. Waypoints:
35	Follow the route. Accelerate to drive with the target speed. Waypoints:
36	Follow the route. Accelerate to drive with the target speed. Waypoints:
37	Follow the route. Accelerate to drive with the target speed. Waypoints:
38	Follow the route. Accelerate to drive with the target speed. Waypoints:
39	Follow the route. Accelerate to drive with the target speed. Waypoints:
40	Follow the route. Accelerate to drive with the target speed. Waypoints:
41	Follow the route. Accelerate to drive with the target speed. Waypoints:
42	Follow the route. Accelerate to drive with the target speed. Waypoints:
43	Follow the route. Accelerate to drive with the target speed. Waypoints:
44	Follow the route. Accelerate to drive with the target speed. Waypoints:
45	Follow the route. Accelerate to drive with the target speed. Waypoints:
46	Follow the route. Accelerate to drive with the target speed. Waypoints:
47	Follow the route. Accelerate to drive with the target speed. Waypoints:
48	Follow the route. Accelerate to drive with the target speed. Waypoints:
49	Follow the route. Accelerate to drive with the target speed. Waypoints:
50	Follow the route. Accelerate to drive with the target speed. Waypoints:
51	Follow the route. Accelerate to drive with the target speed. Waypoints:
52	Follow the route. Accelerate to drive with the target speed. Waypoints:
53	Follow the route. Accelerate to drive with the target speed. Waypoints:
54	Follow the route. Accelerate to drive with the target speed. Waypoints:
55	Follow the route. Accelerate to drive with the target speed. Waypoints:
56	Follow the route. Accelerate to drive with the target speed. Waypoints:
57	Follow the route. Accelerate to drive with the target speed. Waypoints:
58	Follow the route. Accelerate to drive with the target speed. Waypoints:
59	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front right. Waypoints:
60	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front right. Waypoints:
61	Follow the route. Maintain the reduced speed. Waypoints:
62	Follow the route. Maintain the reduced speed. Waypoints:
63	Follow the route. Maintain the reduced speed. Waypoints:
64	Follow the route. Maintain the reduced speed. Waypoints:
65	Follow the route. Maintain the reduced speed. Waypoints:
66	Follow the route. Maintain the reduced speed. Waypoints:
67	Follow the route. Maintain the reduced speed. Waypoints:
68	Follow the route. Maintain the reduced speed. Waypoints:
69	Follow the route. Accelerate to drive with the target speed. Waypoints:
70	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front right. Waypoints:
71	Follow the route. Maintain the reduced speed. Waypoints:
72	Follow the route. Maintain the reduced speed to stay behind the black car that is to the front right. Waypoints:
73	Follow the route. Maintain the reduced speed. Waypoints:
74	Follow the route. Maintain the reduced speed. Waypoints:
75	Follow the route. Maintain the reduced speed. Waypoints:
76	Follow the route. Accelerate to drive with the target speed. Waypoints:
77	Follow the route. Accelerate to drive with the target speed. Waypoints:
78	Follow the route. Maintain the reduced speed. Waypoints:
79	Follow the route. Decelerate to drive with the target speed. Waypoints:
80	Follow the route. Decelerate to drive with the target speed. Waypoints:
81	Follow the route. Decelerate to drive with the target speed. Waypoints:
