step	language
1	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.6 meters. Waypoints:
2	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.6 meters. Waypoints:
3	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.3 meters. Waypoints:
4	Follow the route. Decelerate to stay behind the maroon SUV that is to the front in 9.0 meters. Waypoints:
5	Follow the route. Accelerate to drive with the target speed. Waypoints:
6	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 9.5 meters. Waypoints:
7	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front. Waypoints:
8	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 10.0 meters. Waypoints:
9	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 11.9 meters. Waypoints:
10	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 11.9 meters. Waypoints:
11	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
12	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
13	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
14	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
15	Follow the route. Accelerate to follow the black SUV that is to the front in 12.3 meters. Waypoints:
16	Follow the route. Accelerate to follow the maroon SUV that is to the front in 12.3 meters. Waypoints:
17	Follow the route. Remain stopped to stay behind the maroon SUV that is to the front in 13.0 meters. Waypoints:
18	Follow the route. Accelerate to follow the maroon SUV that is to the front in 12.9 meters. Waypoints:
19	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
20	Go around the construction site. Accelerate to change to the neighbouring lane, as the gap is big enough. Waypoints:
21	Go around the construction site. Wait for a gap in the traffic before changing lanes. Waypoints:
22	Go around the accident in your lane. Wait for an open space in traffic before changing lanes. Waypoints:
23	Follow the route. Remain stopped to stay behind the black SUV that is to the front in 14.3 meters. Waypoints:
24	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
25	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.0 meters. Waypoints:
26	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.0 meters. Waypoints:
27	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
28	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
29	Follow the route. Accelerate to follow the silver SUV that is to the front in 14.3 meters. Waypoints:
30	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
31	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
32	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
33	Follow the route. Accelerate to follow the maroon SUV that is to the front in 14.3 meters. Waypoints:
34	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
35	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
36	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
37	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
38	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
39	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
40	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
41	Follow the route. Accelerate to drive with the target speed. Waypoints:
42	Follow the route. Accelerate to follow the maroon SUV that is to the front in 16.3 meters. Waypoints:
43	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.3 meters. Waypoints:
44	Follow the route. Accelerate to follow the maroon SUV that is to the front in 15.0 meters. Waypoints:
